date,value_eur
2024-02-20,263.32 
2024-02-21,264.00 
2024-02-22,258.11 
2024-02-23,258.74 
2024-02-24,258.52 
2024-02-25,260.68 
2024-02-26,258.12 
2024-02-27,254.84 
2024-02-28,255.11 
2024-02-29,258.74 
2024-03-01,258.69 
2024-03-02,258.65 
2024-03-03,258.60 
2024-03-04,266.88 
2024-03-05,272.65 
2024-03-06,271.42 
2024-03-07,281.70 
2024-03-08,281.80 
2024-03-09,278.77 
2024-03-10,279.66 
2024-03-11,278.82 
2024-03-12,282.94 
2024-03-13,277.34 
2024-03-14,271.05 
2024-03-15,264.23 
2024-03-16,257.57 
2024-03-17,257.14 
2024-03-18,260.43 
2024-03-19,266.79 
2024-03-20,263.30 
2024-03-21,262.45 
2024-03-22,260.56 
2024-03-23,258.21 
2024-03-24,257.00 
2024-03-25,257.65 
2024-03-26,270.15 
2024-03-27,270.03 
2024-03-28,267.33 
2024-03-29,265.79 
2024-03-30,275.75 
2024-03-31,286.56 
2024-04-01,284.85 
2024-04-02,282.75 
2024-04-03,281.80 
2024-04-04,283.75 
2024-04-05,287.30 
2024-04-06,288.98 
2024-04-07,269.85 
2024-04-08,268.97 
2024-04-09,268.97 
2024-04-10,267.93 
2024-04-11,269.69 
2024-04-12,307.08 
2024-04-13,307.30 
2024-04-14,307.53 
2024-04-15,306.64 
2024-04-16,306.72 
2024-04-17,306.83 
2024-04-18,313.42 
2024-04-19,314.41 
2024-04-20,314.74 
2024-04-21,314.08 
2024-04-22,311.44 
2024-04-23,311.82 
2024-04-24,309.63 
2024-04-25,308.51 
2024-04-26,309.53 
2024-04-27,310.15 
2024-04-28,310.21 
2024-04-29,305.35 
2024-04-30,303.38 
2024-05-01,303.82 
2024-05-02,304.20 
2024-05-03,306.88 
2024-05-04,311.82 
2024-05-05,309.62 
2024-05-06,312.33 
2024-05-07,309.74 
2024-05-08,308.80 
2024-05-09,309.97 
2024-05-10,310.43 
2024-05-11,312.01 
2024-05-12,313.69 
2024-05-13,317.88 
2024-05-14,313.83 
2024-05-15,313.91 
2024-05-16,314.88 
2024-05-17,315.12 
2024-05-18,316.84 
2024-05-19,317.63 
2024-05-20,313.21 
2024-05-21,311.72 
2024-05-22,312.01 
2024-05-23,313.14 
2024-05-24,313.22 
2024-05-25,311.56 
2024-05-26,311.50 
2024-05-27,309.66 
2024-05-28,311.03 
2024-05-29,313.58 
2024-05-30,297.77 
2024-05-31,306.65 
2024-06-01,306.54 
2024-06-02,310.17 
2024-06-03,320.58 
2024-06-04,320.58 
2024-06-05,322.12 
2024-06-06,323.01 
2024-06-07,323.39 
2024-06-08,326.23 
2024-06-09,325.83 
2024-06-10,326.66 
2024-06-11,325.50 
2024-06-12,324.78 
2024-06-13,324.06 
2024-06-14,323.09 
2024-06-15,325.03 
2024-06-16,326.93 
2024-06-17,329.41 
2024-06-18,322.15 
2024-06-19,318.40 
2024-06-20,316.48 
2024-06-21,312.54 
2024-06-22,308.48 
2024-06-23,313.16 
2024-06-24,309.39 
2024-06-25,307.70 
2024-06-26,310.30 
2024-06-27,309.72 
2024-06-28,308.69 
2024-06-29,306.90 
2024-06-30,304.75 
2024-07-01,303.12 
2024-07-02,302.72 
2024-07-03,302.07 
2024-07-04,302.67 
2024-07-05,303.27 
2024-07-06,303.87 
2024-07-07,304.47 
2024-07-08,305.47 
2024-07-09,306.07 
2024-07-10,305.67 
2024-07-11,304.67 
2024-07-12,303.67 
2024-07-13,303.00 
2024-07-14,302.57 
2024-07-15,302.02 
2024-07-16,303.02 
