date,account_id,account_label,name,qty,lowest,median,total_lowest,total_median,type,exterior,rarity,quality,family,market_url,currency
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | Rage Mode (Bazooka Pink),1,0.03,0.03,0.03,0.03,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Rage%20Mode%20%28Bazooka%20Pink%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | Ninja (Jungle Green),1,0.03,0.03,0.03,0.03,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Ninja%20%28Jungle%20Green%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | Rage Mode (Battle Green),1,,0.04,0,0.04,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Rage%20Mode%20%28Battle%20Green%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | X-Knives (Jungle Green),2,0.03,,0.06,0,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20X-Knives%20%28Jungle%20Green%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | Double (Violent Violet),1,0.03,0.03,0.03,0.03,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Double%20%28Violent%20Violet%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | Jump Shot (Monarch Blue),1,0.03,,0.03,0,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Jump%20Shot%20%28Monarch%20Blue%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | X-Knives (Brick Red),1,0.03,0.03,0.03,0.03,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20X-Knives%20%28Brick%20Red%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | Eye Spy (Tiger Orange),1,,,0,0,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Eye%20Spy%20%28Tiger%20Orange%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | Rage Mode (Violent Violet),1,,0.03,0,0.03,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Rage%20Mode%20%28Violent%20Violet%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | Rage Mode (Shark White),1,,0.03,0,0.03,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Rage%20Mode%20%28Shark%20White%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | Jump Shot (Bazooka Pink),1,,0.03,0,0.03,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Jump%20Shot%20%28Bazooka%20Pink%29?l=german,EUR
2026-05-20,76561198059817397,Main Account,Sealed Graffiti | Bling (Jungle Green),1,0.03,0.03,0.03,0.03,Graffiti,,Base Grade,Normal,Sealed Graffiti,https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Bling%20%28Jungle%20Green%29?l=german,EUR
